LSOA,Disabled_Percentage
E01001440,15.1
E01001441,14.9
E01001442,17.6
E01001444,13.6
E01001445,11.1
E01001446,15.1
E01001447,18.5
E01001448,14.4
E01001449,15.3
E01001450,13.7
E01001451,14
E01001452,9.3
E01001453,13.5
E01001454,12.8
E01001455,13
E01001456,9.6
E01001457,14.6
E01001458,13.7
E01001459,12
E01001460,12
E01001461,16.9
E01001462,15.4
E01001463,13
E01001464,17.4
E01001465,12.1
E01001466,10.2
E01001467,10.7
E01001468,12.1
E01001469,15.3
E01001470,13.2
E01001471,14.9
E01001472,13.2
E01001473,13.9
E01001474,12.1
E01001475,11
E01001476,14.4
E01001477,12.9
E01001478,14.3
E01001479,13.4
E01001480,16
E01001481,14.8
E01001482,13.7
E01001483,15.1
E01001484,11.6
E01001485,14.1
E01001486,13.5
E01001487,13.6
E01001488,12.4
E01001489,10.9
E01001491,13.1
E01001492,12
E01001493,15.1
E01001494,13.2
E01001495,9.3
E01001496,12.2
E01001497,13.3
E01001498,11.2
E01001499,15.1
E01001500,13.4
E01001501,12.8
E01001502,13.8
E01001503,13.8
E01001504,12.7
E01001505,14.7
E01001507,11.2
E01001508,11.5
E01001509,13.6
E01001511,11.7
E01001512,12.6
E01001513,14.6
E01001514,14.2
E01001515,13.7
E01001516,13.3
E01001517,18.6
E01001518,13.1
E01001520,12.6
E01001521,12.3
E01001522,12.1
E01001523,12.9
E01001524,13.1
E01001525,15.2
E01001526,12.4
E01001527,12.4
E01001528,15
E01001529,12.5
E01001530,14.1
E01001531,11.1
E01001532,11.1
E01001533,14
E01001534,13.1
E01001535,11.8
E01001536,13.5
E01001537,10.8
E01001538,11.9
E01001539,13.2
E01001540,15
E01001541,12.5
E01001542,15.5
E01001543,11.9
E01001544,12.6
E01001545,17.9
E01001546,15.5
E01001547,14.2
E01001548,16.5
E01001549,13.4
E01001550,13.1
E01001551,19.6
E01001552,16.6
E01001553,12.2
E01001554,15.8
E01001555,12.6
E01001556,12.1
E01001557,12.8
E01001558,9.5
E01001559,12.8
E01001560,13.2
E01001562,18.3
E01001563,11.2
E01001564,14.1
E01001565,13.5
E01001566,15.4
E01001567,10.2
E01001568,11
